starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 28 21:24:24 2020	1588101864	0	0	0	0
Tue Apr 28 21:24:24 2020	1588101864	0	0	0	0
Tue Apr 28 21:24:24 2020	1588101864	0	0	0	0
Tue Apr 28 21:24:24 2020	1588101864	0	0	0	0
Tue Apr 28 21:24:24 2020	1588101864	0	0	0	0
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	0
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	0
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	0
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	0
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	0
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	0
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	1	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	0	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	1	1	1	1
Tue Apr 28 21:24:24 2020	1588101864	1	1	2	1
Tue Apr 28 21:24:24 2020	1588101864	0	1	2	1
Tue Apr 28 21:24:24 2020	1588101864	1	1	2	1
Tue Apr 28 21:24:24 2020	1588101864	0	1	2	1
Tue Apr 28 21:24:24 2020	1588101864	0	2	2	1
Tue Apr 28 21:24:24 2020	1588101864	0	2	2	1
Tue Apr 28 21:24:24 2020	1588101864	0	2	2	1
Tue Apr 28 21:24:24 2020	1588101864	0	2	2	1
Tue Apr 28 21:24:24 2020	1588101864	0	2	2	1
Tue Apr 28 21:24:24 2020	1588101864	0	2	2	2
Tue Apr 28 21:24:24 2020	1588101864	0	2	2	2
Tue Apr 28 21:24:24 2020	1588101864	0	2	3	2
Tue Apr 28 21:24:24 2020	1588101864	0	3	3	2
Tue Apr 28 21:24:24 2020	1588101864	0	3	4	3
Tue Apr 28 21:24:24 2020	1588101864	0	3	4	2
Tue Apr 28 21:24:24 2020	1588101864	1	3	4	2
Tue Apr 28 21:24:24 2020	1588101864	1	3	4	1
Tue Apr 28 21:24:24 2020	1588101864	1	3	4	2
Tue Apr 28 21:24:24 2020	1588101864	0	4	4	1
Tue Apr 28 21:24:24 2020	1588101864	1	4	4	2
Tue Apr 28 21:24:24 2020	1588101864	0	4	5	2
Tue Apr 28 21:24:24 2020	1588101864	1	4	5	2
Tue Apr 28 21:24:24 2020	1588101864	0	4	5	2
Tue Apr 28 21:24:24 2020	1588101864	0	5	5	5
Tue Apr 28 21:24:24 2020	1588101864	0	5	5	2
Tue Apr 28 21:24:24 2020	1588101864	0	5	5	5
Tue Apr 28 21:24:24 2020	1588101864	0	5	5	5
Tue Apr 28 21:24:24 2020	1588101864	1	5	5	4
Tue Apr 28 21:24:24 2020	1588101864	1	5	5	5
Tue Apr 28 21:24:24 2020	1588101864	0	5	5	2
Tue Apr 28 21:24:24 2020	1588101864	1	5	5	3
Tue Apr 28 21:24:24 2020	1588101864	1	5	5	5
Tue Apr 28 21:24:24 2020	1588101864	0	5	5	5
Tue Apr 28 21:24:24 2020	1588101864	1	4	5	3
Tue Apr 28 21:24:24 2020	1588101864	0	5	6	5
Tue Apr 28 21:24:24 2020	1588101864	0	6	6	5
Tue Apr 28 21:24:24 2020	1588101864	1	5	6	4
Tue Apr 28 21:24:24 2020	1588101864	3	3	6	2
Tue Apr 28 21:24:24 2020	1588101864	1	5	6	4
Tue Apr 28 21:24:24 2020	1588101864	2	5	6	4
Tue Apr 28 21:24:24 2020	1588101864	1	5	7	4
Tue Apr 28 21:24:24 2020	1588101864	1	6	7	4
Tue Apr 28 21:24:24 2020	1588101864	1	6	7	4
Tue Apr 28 21:24:24 2020	1588101864	1	5	7	5
Tue Apr 28 21:24:24 2020	1588101864	1	5	7	5
Tue Apr 28 21:24:24 2020	1588101864	1	5	7	5
Tue Apr 28 21:24:24 2020	1588101864	1	5	7	5
Tue Apr 28 21:24:24 2020	1588101864	0	6	7	2
Tue Apr 28 21:24:24 2020	1588101864	4	4	7	3
Tue Apr 28 21:24:24 2020	1588101864	4	4	7	3
Tue Apr 28 21:24:24 2020	1588101864	3	4	7	2
Tue Apr 28 21:24:24 2020	1588101864	3	4	7	2
Tue Apr 28 21:24:24 2020	1588101864	1	7	8	3
Tue Apr 28 21:24:24 2020	1588101864	4	4	8	3
Tue Apr 28 21:24:24 2020	1588101864	4	3	8	3
Tue Apr 28 21:24:24 2020	1588101864	1	7	8	3
Tue Apr 28 21:24:24 2020	1588101864	4	4	8	3
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	4	4	8	4
Tue Apr 28 21:24:24 2020	1588101864	4	4	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	0	8	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	4	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	5	4	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	1	8	8	3
Tue Apr 28 21:24:24 2020	1588101864	4	4	8	4
Tue Apr 28 21:24:24 2020	1588101864	4	4	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	3
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	3
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	4
Tue Apr 28 21:24:24 2020	1588101864	2	6	8	6
Tue Apr 28 21:24:24 2020	1588101864	2	6	8	6
Tue Apr 28 21:24:24 2020	1588101864	3	6	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	8	3
Tue Apr 28 21:24:24 2020	1588101864	2	6	8	6
Tue Apr 28 21:24:24 2020	1588101864	3	6	8	4
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	4
Tue Apr 28 21:24:24 2020	1588101864	5	4	9	4
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	3
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	4
Tue Apr 28 21:24:24 2020	1588101864	4	4	9	4
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	6
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	4
Tue Apr 28 21:24:24 2020	1588101864	6	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	4	4	9	4
Tue Apr 28 21:24:24 2020	1588101864	5	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	6	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	3
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	3
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	4
Tue Apr 28 21:24:24 2020	1588101864	3	5	9	3
Tue Apr 28 21:24:24 2020	1588101864	6	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	5	4	9	4
Tue Apr 28 21:24:24 2020	1588101864	6	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	4	5	9	4
Tue Apr 28 21:24:24 2020	1588101864	4	4	9	4
Tue Apr 28 21:24:24 2020	1588101864	5	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	5	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	2	6	9	6
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	6
Tue Apr 28 21:24:24 2020	1588101864	1	8	9	5
Tue Apr 28 21:24:24 2020	1588101864	2	6	9	6
Tue Apr 28 21:24:24 2020	1588101864	5	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	6	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	5	3	9	3
Tue Apr 28 21:24:24 2020	1588101864	2	6	9	6
Tue Apr 28 21:24:24 2020	1588101864	3	6	9	6
Tue Apr 28 21:24:24 2020	1588101864	5	4	9	4
Tue Apr 28 21:24:24 2020	1588101864	2	6	9	6
Tue Apr 28 21:24:24 2020	1588101864	6	3	9	3
