starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 28 21:24:30 2020	1588101870	0	2	2	1
Tue Apr 28 21:24:30 2020	1588101870	1	4	5	3
Tue Apr 28 21:24:30 2020	1588101870	1	4	5	3
Tue Apr 28 21:24:30 2020	1588101870	1	4	5	3
Tue Apr 28 21:24:31 2020	1588101871	1	5	5	3
Tue Apr 28 21:24:30 2020	1588101870	1	4	5	3
Tue Apr 28 21:24:31 2020	1588101871	1	5	5	3
Tue Apr 28 21:24:30 2020	1588101870	0	5	6	4
Tue Apr 28 21:24:30 2020	1588101870	1	5	6	3
Tue Apr 28 21:24:30 2020	1588101870	2	6	8	4
Tue Apr 28 21:24:30 2020	1588101870	1	7	8	5
Tue Apr 28 21:24:30 2020	1588101870	2	6	8	4
Tue Apr 28 21:24:30 2020	1588101870	1	7	8	5
Tue Apr 28 21:24:30 2020	1588101870	0	9	10	5
Tue Apr 28 21:24:31 2020	1588101871	1	10	11	5
Tue Apr 28 21:24:31 2020	1588101871	1	10	11	5
Tue Apr 28 21:24:30 2020	1588101870	5	6	11	5
Tue Apr 28 21:24:30 2020	1588101870	5	7	12	5
Tue Apr 28 21:24:30 2020	1588101870	1	12	12	5
Tue Apr 28 21:24:30 2020	1588101870	5	7	12	5
Tue Apr 28 21:24:30 2020	1588101870	2	11	12	5
Tue Apr 28 21:24:29 2020	1588101869	6	6	13	5
Tue Apr 28 21:24:30 2020	1588101870	5	8	13	5
Tue Apr 28 21:24:29 2020	1588101869	7	6	13	5
Tue Apr 28 21:24:30 2020	1588101870	5	8	13	5
Tue Apr 28 21:24:29 2020	1588101869	7	7	13	6
Tue Apr 28 21:24:29 2020	1588101869	6	7	13	6
Tue Apr 28 21:24:29 2020	1588101869	6	7	13	5
Tue Apr 28 21:24:29 2020	1588101869	7	7	13	6
Tue Apr 28 21:24:29 2020	1588101869	6	7	13	5
Tue Apr 28 21:24:29 2020	1588101869	6	7	13	5
Tue Apr 28 21:24:29 2020	1588101869	7	7	13	6
Tue Apr 28 21:24:29 2020	1588101869	7	7	13	6
Tue Apr 28 21:24:30 2020	1588101870	7	7	14	5
Tue Apr 28 21:24:30 2020	1588101870	7	6	14	5
Tue Apr 28 21:24:31 2020	1588101871	3	11	14	7
Tue Apr 28 21:24:31 2020	1588101871	4	10	14	6
Tue Apr 28 21:24:30 2020	1588101870	7	7	14	5
Tue Apr 28 21:24:31 2020	1588101871	4	11	14	7
Tue Apr 28 21:24:30 2020	1588101870	7	7	14	6
Tue Apr 28 21:24:31 2020	1588101871	3	11	14	7
Tue Apr 28 21:24:31 2020	1588101871	3	11	15	7
Tue Apr 28 21:24:30 2020	1588101870	1	14	15	7
Tue Apr 28 21:24:31 2020	1588101871	3	12	15	7
Tue Apr 28 21:24:30 2020	1588101870	2	13	15	11
Tue Apr 28 21:24:30 2020	1588101870	5	10	15	9
Tue Apr 28 21:24:30 2020	1588101870	2	13	15	11
Tue Apr 28 21:24:30 2020	1588101870	1	15	15	8
Tue Apr 28 21:24:31 2020	1588101871	3	12	15	7
Tue Apr 28 21:24:30 2020	1588101870	1	15	15	8
Tue Apr 28 21:24:30 2020	1588101870	9	7	16	6
Tue Apr 28 21:24:30 2020	1588101870	9	7	16	6
Tue Apr 28 21:24:30 2020	1588101870	1	14	16	8
Tue Apr 28 21:24:31 2020	1588101871	3	13	16	7
Tue Apr 28 21:24:30 2020	1588101870	8	7	16	6
Tue Apr 28 21:24:30 2020	1588101870	8	8	16	6
Tue Apr 28 21:24:30 2020	1588101870	5	11	16	9
Tue Apr 28 21:24:31 2020	1588101871	3	13	16	7
Tue Apr 28 21:24:30 2020	1588101870	1	15	16	8
Tue Apr 28 21:24:30 2020	1588101870	1	15	16	9
Tue Apr 28 21:24:30 2020	1588101870	5	12	16	9
Tue Apr 28 21:24:31 2020	1588101871	3	13	16	7
Tue Apr 28 21:24:31 2020	1588101871	5	12	17	9
Tue Apr 28 21:24:31 2020	1588101871	3	14	17	7
Tue Apr 28 21:24:31 2020	1588101871	3	14	17	7
Tue Apr 28 21:24:31 2020	1588101871	3	15	17	7
Tue Apr 28 21:24:30 2020	1588101870	10	7	18	7
Tue Apr 28 21:24:31 2020	1588101871	3	15	18	8
Tue Apr 28 21:24:31 2020	1588101871	3	15	18	8
Tue Apr 28 21:24:30 2020	1588101870	10	8	18	7
Tue Apr 28 21:24:31 2020	1588101871	3	15	18	8
Tue Apr 28 21:24:30 2020	1588101870	7	11	18	7
Tue Apr 28 21:24:30 2020	1588101870	10	8	18	7
Tue Apr 28 21:24:31 2020	1588101871	3	16	18	8
Tue Apr 28 21:24:31 2020	1588101871	3	16	18	8
Tue Apr 28 21:24:31 2020	1588101871	14	4	18	4
Tue Apr 28 21:24:31 2020	1588101871	5	14	18	9
Tue Apr 28 21:24:31 2020	1588101871	14	4	18	4
Tue Apr 28 21:24:31 2020	1588101871	14	4	18	4
Tue Apr 28 21:24:31 2020	1588101871	14	4	18	4
Tue Apr 28 21:24:31 2020	1588101871	14	4	18	4
Tue Apr 28 21:24:31 2020	1588101871	14	4	18	4
Tue Apr 28 21:24:30 2020	1588101870	10	9	19	7
Tue Apr 28 21:24:31 2020	1588101871	14	4	19	4
Tue Apr 28 21:24:31 2020	1588101871	3	16	19	8
Tue Apr 28 21:24:31 2020	1588101871	14	4	19	4
Tue Apr 28 21:24:31 2020	1588101871	3	16	19	8
Tue Apr 28 21:24:29 2020	1588101869	6	13	19	7
Tue Apr 28 21:24:30 2020	1588101870	5	14	19	9
Tue Apr 28 21:24:30 2020	1588101870	10	9	19	7
Tue Apr 28 21:24:30 2020	1588101870	5	14	19	9
Tue Apr 28 21:24:31 2020	1588101871	3	16	19	8
Tue Apr 28 21:24:31 2020	1588101871	3	16	19	8
Tue Apr 28 21:24:31 2020	1588101871	3	16	19	8
Tue Apr 28 21:24:30 2020	1588101870	5	14	19	9
Tue Apr 28 21:24:30 2020	1588101870	10	9	19	7
Tue Apr 28 21:24:30 2020	1588101870	5	14	19	9
Tue Apr 28 21:24:30 2020	1588101870	5	14	19	9
Tue Apr 28 21:24:31 2020	1588101871	5	14	19	9
Tue Apr 28 21:24:30 2020	1588101870	10	9	19	7
Tue Apr 28 21:24:31 2020	1588101871	3	16	19	8
Tue Apr 28 21:24:30 2020	1588101870	5	14	19	9
Tue Apr 28 21:24:30 2020	1588101870	5	14	19	9
Tue Apr 28 21:24:29 2020	1588101869	6	13	19	7
