starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	43	11	54	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	55	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	44	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	56	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	45	12	57	11
Tue Apr 28 21:25:14 2020	1588101914	45	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	11	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	12	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	12	57	10
Tue Apr 28 21:25:14 2020	1588101914	46	12	58	10
Tue Apr 28 21:25:14 2020	1588101914	46	12	58	10
Tue Apr 28 21:25:14 2020	1588101914	29	35	64	21
Tue Apr 28 21:25:14 2020	1588101914	29	36	64	21
Tue Apr 28 21:25:14 2020	1588101914	29	36	64	21
Tue Apr 28 21:25:14 2020	1588101914	29	35	64	21
Tue Apr 28 21:25:14 2020	1588101914	29	36	64	21
Tue Apr 28 21:25:14 2020	1588101914	29	35	64	21
Tue Apr 28 21:25:14 2020	1588101914	29	36	64	21
Tue Apr 28 21:25:14 2020	1588101914	29	36	64	22
