starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 28 21:25:01 2020	1588101901	18	16	35	10
Tue Apr 28 21:25:01 2020	1588101901	18	17	35	10
Tue Apr 28 21:25:01 2020	1588101901	18	17	35	10
Tue Apr 28 21:25:01 2020	1588101901	18	17	35	9
Tue Apr 28 21:25:01 2020	1588101901	18	17	35	10
Tue Apr 28 21:25:01 2020	1588101901	18	17	35	10
Tue Apr 28 21:25:01 2020	1588101901	18	17	35	10
Tue Apr 28 21:25:01 2020	1588101901	18	17	35	9
Tue Apr 28 21:25:01 2020	1588101901	18	17	35	9
Tue Apr 28 21:25:01 2020	1588101901	18	17	35	10
Tue Apr 28 21:25:01 2020	1588101901	18	18	36	9
Tue Apr 28 21:25:01 2020	1588101901	18	18	36	9
Tue Apr 28 21:25:01 2020	1588101901	16	20	36	13
Tue Apr 28 21:25:01 2020	1588101901	16	20	36	13
Tue Apr 28 21:25:01 2020	1588101901	16	20	36	13
Tue Apr 28 21:25:01 2020	1588101901	16	20	36	13
Tue Apr 28 21:25:01 2020	1588101901	16	20	36	13
Tue Apr 28 21:25:01 2020	1588101901	16	20	36	13
Tue Apr 28 21:25:01 2020	1588101901	16	20	36	13
Tue Apr 28 21:25:01 2020	1588101901	16	22	38	20
Tue Apr 28 21:25:01 2020	1588101901	16	23	39	20
Tue Apr 28 21:25:01 2020	1588101901	16	23	39	20
Tue Apr 28 21:25:01 2020	1588101901	16	23	39	20
Tue Apr 28 21:25:01 2020	1588101901	16	23	39	20
Tue Apr 28 21:25:01 2020	1588101901	16	23	39	20
Tue Apr 28 21:25:01 2020	1588101901	16	23	39	20
Tue Apr 28 21:25:01 2020	1588101901	16	23	39	20
Tue Apr 28 21:25:01 2020	1588101901	17	25	42	13
Tue Apr 28 21:25:01 2020	1588101901	17	25	42	13
Tue Apr 28 21:25:01 2020	1588101901	17	25	42	13
Tue Apr 28 21:25:01 2020	1588101901	17	25	42	13
Tue Apr 28 21:25:01 2020	1588101901	16	25	42	13
Tue Apr 28 21:25:01 2020	1588101901	16	26	42	13
Tue Apr 28 21:25:01 2020	1588101901	16	26	42	13
Tue Apr 28 21:25:01 2020	1588101901	16	26	42	13
Tue Apr 28 21:25:01 2020	1588101901	16	26	42	13
Tue Apr 28 21:25:01 2020	1588101901	16	26	42	13
Tue Apr 28 21:25:01 2020	1588101901	16	26	42	13
Tue Apr 28 21:25:01 2020	1588101901	16	26	42	12
Tue Apr 28 21:25:01 2020	1588101901	16	26	42	12
Tue Apr 28 21:25:01 2020	1588101901	16	26	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	28	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	28	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	28	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	28	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	28	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	15	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	12
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	14
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	14
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	14
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	14
Tue Apr 28 21:25:01 2020	1588101901	15	28	43	12
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	14
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	14
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	13
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	14
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	13
Tue Apr 28 21:25:01 2020	1588101901	16	27	43	17
Tue Apr 28 21:25:02 2020	1588101902	29	14	43	13
Tue Apr 28 21:25:02 2020	1588101902	29	14	44	13
Tue Apr 28 21:25:01 2020	1588101901	15	29	44	12
Tue Apr 28 21:25:02 2020	1588101902	29	14	44	13
Tue Apr 28 21:25:01 2020	1588101901	16	28	44	17
Tue Apr 28 21:25:02 2020	1588101902	29	14	44	13
Tue Apr 28 21:25:02 2020	1588101902	29	14	44	13
Tue Apr 28 21:25:02 2020	1588101902	29	14	44	13
Tue Apr 28 21:25:02 2020	1588101902	29	14	44	13
Tue Apr 28 21:25:01 2020	1588101901	16	28	44	17
Tue Apr 28 21:25:02 2020	1588101902	30	14	44	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	44	13
Tue Apr 28 21:25:01 2020	1588101901	15	29	44	12
Tue Apr 28 21:25:02 2020	1588101902	30	15	44	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	44	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	44	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	44	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	44	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:01 2020	1588101901	15	30	45	12
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:01 2020	1588101901	16	29	45	17
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:01 2020	1588101901	16	29	45	17
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	13
Tue Apr 28 21:25:02 2020	1588101902	30	15	45	14
Tue Apr 28 21:25:02 2020	1588101902	30	15	46	14
Tue Apr 28 21:25:02 2020	1588101902	31	15	46	14
Tue Apr 28 21:25:02 2020	1588101902	31	15	46	14
Tue Apr 28 21:25:02 2020	1588101902	31	15	46	14
Tue Apr 28 21:25:02 2020	1588101902	31	15	46	14
Tue Apr 28 21:25:02 2020	1588101902	31	15	46	14
Tue Apr 28 21:25:01 2020	1588101901	14	32	46	30
Tue Apr 28 21:25:01 2020	1588101901	14	32	46	30
Tue Apr 28 21:25:01 2020	1588101901	13	33	46	30
Tue Apr 28 21:25:01 2020	1588101901	14	32	46	30
Tue Apr 28 21:25:01 2020	1588101901	13	33	46	30
Tue Apr 28 21:25:01 2020	1588101901	14	32	46	30
Tue Apr 28 21:25:01 2020	1588101901	13	33	46	30
Tue Apr 28 21:25:01 2020	1588101901	14	32	46	30
Tue Apr 28 21:25:01 2020	1588101901	14	32	46	30
Tue Apr 28 21:25:01 2020	1588101901	14	32	46	30
