starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 28 21:24:55 2020	1588101895	17	15	32	9
Tue Apr 28 21:24:55 2020	1588101895	17	15	32	9
Tue Apr 28 21:24:55 2020	1588101895	17	15	32	9
Tue Apr 28 21:24:55 2020	1588101895	17	15	32	9
Tue Apr 28 21:24:55 2020	1588101895	17	15	32	9
Tue Apr 28 21:24:55 2020	1588101895	17	15	32	9
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	19	36	15
Tue Apr 28 21:24:55 2020	1588101895	17	20	36	15
Tue Apr 28 21:24:55 2020	1588101895	10	28	38	13
Tue Apr 28 21:24:55 2020	1588101895	10	29	39	13
Tue Apr 28 21:24:55 2020	1588101895	9	30	39	13
Tue Apr 28 21:24:55 2020	1588101895	9	30	40	13
Tue Apr 28 21:24:55 2020	1588101895	9	31	40	13
Tue Apr 28 21:24:55 2020	1588101895	9	32	41	13
Tue Apr 28 21:24:55 2020	1588101895	9	33	42	13
Tue Apr 28 21:24:55 2020	1588101895	9	33	42	13
Tue Apr 28 21:24:55 2020	1588101895	9	33	42	13
Tue Apr 28 21:24:54 2020	1588101894	14	28	42	12
Tue Apr 28 21:24:54 2020	1588101894	0	43	43	0
Tue Apr 28 21:24:54 2020	1588101894	14	29	43	12
Tue Apr 28 21:24:55 2020	1588101895	22	22	43	14
