starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 28 21:24:43 2020	1588101883	6	17	22	14
Tue Apr 28 21:24:43 2020	1588101883	6	17	23	14
Tue Apr 28 21:24:43 2020	1588101883	6	17	23	14
Tue Apr 28 21:24:43 2020	1588101883	6	17	23	14
Tue Apr 28 21:24:43 2020	1588101883	6	17	23	14
Tue Apr 28 21:24:42 2020	1588101882	14	9	23	4
Tue Apr 28 21:24:42 2020	1588101882	14	9	23	4
Tue Apr 28 21:24:42 2020	1588101882	14	9	23	4
Tue Apr 28 21:24:42 2020	1588101882	14	9	23	4
Tue Apr 28 21:24:43 2020	1588101883	6	17	23	14
Tue Apr 28 21:24:43 2020	1588101883	6	17	23	14
Tue Apr 28 21:24:43 2020	1588101883	6	18	23	14
Tue Apr 28 21:24:43 2020	1588101883	6	18	24	14
Tue Apr 28 21:24:43 2020	1588101883	6	19	24	14
Tue Apr 28 21:24:43 2020	1588101883	6	19	25	14
Tue Apr 28 21:24:43 2020	1588101883	6	20	25	14
Tue Apr 28 21:24:43 2020	1588101883	9	16	26	14
Tue Apr 28 21:24:43 2020	1588101883	9	17	26	14
Tue Apr 28 21:24:43 2020	1588101883	9	16	26	14
Tue Apr 28 21:24:43 2020	1588101883	9	17	26	14
Tue Apr 28 21:24:43 2020	1588101883	9	17	26	14
Tue Apr 28 21:24:43 2020	1588101883	6	20	26	14
Tue Apr 28 21:24:42 2020	1588101882	10	16	26	16
Tue Apr 28 21:24:43 2020	1588101883	6	21	26	14
Tue Apr 28 21:24:43 2020	1588101883	6	21	27	14
Tue Apr 28 21:24:43 2020	1588101883	6	21	27	14
Tue Apr 28 21:24:43 2020	1588101883	9	18	27	14
Tue Apr 28 21:24:43 2020	1588101883	9	19	28	11
Tue Apr 28 21:24:43 2020	1588101883	5	23	28	14
Tue Apr 28 21:24:43 2020	1588101883	9	19	28	11
Tue Apr 28 21:24:43 2020	1588101883	9	19	28	11
Tue Apr 28 21:24:43 2020	1588101883	9	19	29	11
Tue Apr 28 21:24:43 2020	1588101883	9	19	29	11
Tue Apr 28 21:24:43 2020	1588101883	9	20	29	14
Tue Apr 28 21:24:43 2020	1588101883	9	19	29	11
Tue Apr 28 21:24:43 2020	1588101883	9	20	29	11
Tue Apr 28 21:24:43 2020	1588101883	9	20	29	12
Tue Apr 28 21:24:43 2020	1588101883	9	20	29	12
Tue Apr 28 21:24:43 2020	1588101883	5	25	30	14
Tue Apr 28 21:24:43 2020	1588101883	9	22	31	14
Tue Apr 28 21:24:42 2020	1588101882	19	13	32	9
Tue Apr 28 21:24:42 2020	1588101882	18	14	32	12
Tue Apr 28 21:24:42 2020	1588101882	18	14	32	12
Tue Apr 28 21:24:43 2020	1588101883	5	27	32	14
Tue Apr 28 21:24:42 2020	1588101882	19	13	32	9
Tue Apr 28 21:24:42 2020	1588101882	18	14	32	12
Tue Apr 28 21:24:42 2020	1588101882	18	14	32	12
Tue Apr 28 21:24:42 2020	1588101882	0	32	32	1
Tue Apr 28 21:24:42 2020	1588101882	19	13	32	10
Tue Apr 28 21:24:42 2020	1588101882	18	14	32	12
Tue Apr 28 21:24:42 2020	1588101882	18	14	32	11
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	10
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	10
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	10
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	10
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	10
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	10
Tue Apr 28 21:24:42 2020	1588101882	19	13	32	10
Tue Apr 28 21:24:42 2020	1588101882	18	15	32	11
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	9
Tue Apr 28 21:24:42 2020	1588101882	18	15	32	12
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	9
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	10
Tue Apr 28 21:24:42 2020	1588101882	19	13	32	10
Tue Apr 28 21:24:42 2020	1588101882	19	13	32	10
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	10
Tue Apr 28 21:24:42 2020	1588101882	16	16	32	9
Tue Apr 28 21:24:43 2020	1588101883	26	7	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	16	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	16	33	9
Tue Apr 28 21:24:43 2020	1588101883	9	24	33	14
Tue Apr 28 21:24:42 2020	1588101882	16	16	33	9
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:42 2020	1588101882	19	14	33	10
Tue Apr 28 21:24:42 2020	1588101882	19	14	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	12
Tue Apr 28 21:24:43 2020	1588101883	26	7	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:42 2020	1588101882	19	14	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:43 2020	1588101883	26	7	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:42 2020	1588101882	19	14	33	10
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:43 2020	1588101883	26	7	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	19	14	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:42 2020	1588101882	19	14	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:43 2020	1588101883	26	7	33	7
Tue Apr 28 21:24:42 2020	1588101882	18	15	33	11
Tue Apr 28 21:24:43 2020	1588101883	26	7	33	5
Tue Apr 28 21:24:42 2020	1588101882	18	16	33	11
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	18	16	33	11
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	7
Tue Apr 28 21:24:42 2020	1588101882	18	16	33	11
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	7
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	8
Tue Apr 28 21:24:42 2020	1588101882	18	16	33	11
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	10
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	6
Tue Apr 28 21:24:42 2020	1588101882	16	17	33	9
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	6
Tue Apr 28 21:24:43 2020	1588101883	27	7	33	5
Tue Apr 28 21:24:42 2020	1588101882	16	18	33	7
