starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 28 21:24:37 2020	1588101877	0	0	0	0
Tue Apr 28 21:24:37 2020	1588101877	0	0	0	0
Tue Apr 28 21:24:37 2020	1588101877	0	0	1	0
Tue Apr 28 21:24:37 2020	1588101877	0	2	2	1
Tue Apr 28 21:24:37 2020	1588101877	0	2	3	1
Tue Apr 28 21:24:37 2020	1588101877	1	7	8	5
Tue Apr 28 21:24:37 2020	1588101877	1	10	11	4
Tue Apr 28 21:24:37 2020	1588101877	1	10	11	4
Tue Apr 28 21:24:37 2020	1588101877	2	10	12	6
Tue Apr 28 21:24:37 2020	1588101877	12	0	12	0
Tue Apr 28 21:24:37 2020	1588101877	1	12	13	7
Tue Apr 28 21:24:37 2020	1588101877	2	12	15	10
Tue Apr 28 21:24:37 2020	1588101877	8	7	15	6
Tue Apr 28 21:24:37 2020	1588101877	8	8	16	6
Tue Apr 28 21:24:37 2020	1588101877	3	13	16	10
Tue Apr 28 21:24:37 2020	1588101877	3	13	16	10
Tue Apr 28 21:24:37 2020	1588101877	4	12	16	10
Tue Apr 28 21:24:37 2020	1588101877	8	8	16	6
Tue Apr 28 21:24:37 2020	1588101877	8	9	16	6
Tue Apr 28 21:24:37 2020	1588101877	3	13	16	10
Tue Apr 28 21:24:37 2020	1588101877	8	9	16	6
Tue Apr 28 21:24:37 2020	1588101877	8	9	17	6
Tue Apr 28 21:24:37 2020	1588101877	8	9	17	6
Tue Apr 28 21:24:37 2020	1588101877	7	9	17	6
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	15	2	17	1
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	15	2	17	2
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:37 2020	1588101877	7	10	17	6
Tue Apr 28 21:24:36 2020	1588101876	15	2	17	1
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	15	2	17	2
Tue Apr 28 21:24:36 2020	1588101876	15	2	17	1
Tue Apr 28 21:24:36 2020	1588101876	15	2	17	2
Tue Apr 28 21:24:36 2020	1588101876	15	2	17	1
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:37 2020	1588101877	7	10	17	6
Tue Apr 28 21:24:37 2020	1588101877	4	14	17	9
Tue Apr 28 21:24:37 2020	1588101877	3	14	17	11
Tue Apr 28 21:24:36 2020	1588101876	15	2	17	1
Tue Apr 28 21:24:36 2020	1588101876	3	14	17	12
Tue Apr 28 21:24:37 2020	1588101877	3	14	17	11
Tue Apr 28 21:24:37 2020	1588101877	3	15	17	11
Tue Apr 28 21:24:37 2020	1588101877	3	14	18	11
Tue Apr 28 21:24:36 2020	1588101876	15	2	18	2
Tue Apr 28 21:24:37 2020	1588101877	3	14	18	11
Tue Apr 28 21:24:37 2020	1588101877	3	14	18	11
Tue Apr 28 21:24:37 2020	1588101877	3	15	18	11
Tue Apr 28 21:24:36 2020	1588101876	4	14	18	11
Tue Apr 28 21:24:36 2020	1588101876	15	3	18	1
Tue Apr 28 21:24:37 2020	1588101877	4	14	18	10
Tue Apr 28 21:24:37 2020	1588101877	3	14	18	10
